algorithm,operation,security_level,time_us,run_number
ML-KEM,encaps,1024,28067,1
ML-KEM,encaps,1024,28164,2
ML-KEM,encaps,1024,28085,3
ML-KEM,encaps,1024,28089,4
ML-KEM,encaps,1024,28085,5
ML-KEM,encaps,1024,28102,6
ML-KEM,encaps,1024,28091,7
ML-KEM,encaps,1024,28070,8
ML-KEM,encaps,1024,28092,9
ML-KEM,encaps,1024,28093,10
ML-KEM,encaps,1024,28075,11
ML-KEM,encaps,1024,28056,12
ML-KEM,encaps,1024,28064,13
ML-KEM,encaps,1024,28080,14
ML-KEM,encaps,1024,28091,15
ML-KEM,encaps,1024,28086,16
ML-KEM,encaps,1024,28068,17
ML-KEM,encaps,1024,28071,18
ML-KEM,encaps,1024,28086,19
ML-KEM,encaps,1024,28074,20
ML-KEM,encaps,1024,28058,21
ML-KEM,encaps,1024,28063,22
ML-KEM,encaps,1024,28083,23
ML-KEM,encaps,1024,28074,24
ML-KEM,encaps,1024,28072,25
ML-KEM,encaps,1024,28090,26
ML-KEM,encaps,1024,28098,27
ML-KEM,encaps,1024,28081,28
ML-KEM,encaps,1024,28081,29
ML-KEM,encaps,1024,28065,30
ML-KEM,decaps,1024,32407,1
ML-KEM,decaps,1024,32507,2
ML-KEM,decaps,1024,32469,3
ML-KEM,decaps,1024,32437,4
ML-KEM,decaps,1024,32451,5
ML-KEM,decaps,1024,32428,6
ML-KEM,decaps,1024,32454,7
ML-KEM,decaps,1024,32430,8
ML-KEM,decaps,1024,32436,9
ML-KEM,decaps,1024,32445,10
ML-KEM,decaps,1024,32466,11
ML-KEM,decaps,1024,32434,12
ML-KEM,decaps,1024,32461,13
ML-KEM,decaps,1024,32432,14
ML-KEM,decaps,1024,32428,15
ML-KEM,decaps,1024,32457,16
ML-KEM,decaps,1024,32461,17
ML-KEM,decaps,1024,32445,18
ML-KEM,decaps,1024,32427,19
ML-KEM,decaps,1024,32439,20
ML-KEM,decaps,1024,32448,21
ML-KEM,decaps,1024,32462,22
ML-KEM,decaps,1024,32441,23
ML-KEM,decaps,1024,32446,24
ML-KEM,decaps,1024,32436,25
ML-KEM,decaps,1024,32440,26
ML-KEM,decaps,1024,32436,27
ML-KEM,decaps,1024,32442,28
ML-KEM,decaps,1024,32432,29
ML-KEM,decaps,1024,32445,30
