# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,verify,65,1046,14
ML-DSA,verify,65,1034,15
ML-DSA,verify,65,995,16
ML-DSA,verify,65,1473,17
ML-DSA,verify,65,1020,18
ML-DSA,verify,65,1010,19
ML-DSA,verify,65,1006,20
ML-DSA,verify,65,1100,21
ML-DSA,verify,65,1000,22
ML-DSA,verify,65,1022,23
ML-DSA,verify,65,1065,24
ML-DSA,verify,65,1026,25
ML-DSA,verify,65,1195,26
ML-DSA,verify,65,1043,27
ML-DSA,verify,65,1046,28
ML-DSA,verify,65,1027,29
ML-DSA,verify,65,1032,30
# SUMMARY ML-DSA verify 65: mean=1135 min=970 max=1737 stddev=227.2 cv=20.01% (n=30)
# CORRECTNESS: ML-DSA-65 signature verifies OK
# --- ML-DSA-87 ---
# PK=2592 SK=4896 SIG=4627 bytes
ML-DSA,keygen,87,1985,1
ML-DSA,keygen,87,1873,2
ML-DSA,keygen,87,1855,3
ML-DSA,keygen,87,1872,4
ML-DSA,keygen,87,1864,5
ML-DSA,keygen,87,1850,6
ML-DSA,keygen,87,1873,7
ML-DSA,keygen,87,1840,8
ML-DSA,keygen,87,1814,9
ML-DSA,keygen,87,1807,10
ML-DSA,keygen,87,1846,11
ML-DSA,keygen,87,1867,12
ML-DSA,keygen,87,1792,13
ML-DSA,keygen,87,1790,14
ML-DSA,keygen,87,1798,15
ML-DSA,keygen,87,1805,16
ML-DSA,keygen,87,1812,17
ML-DSA,keygen,87,1798,18
ML-DSA,keygen,87,1808,19
ML-DSA,keygen,87,2530,20
ML-DSA,keygen,87,2879,21
ML-DSA,keygen,87,1884,22
ML-DSA,keygen,87,1803,23
ML-DSA,keygen,87,1907,24
ML-DSA,keygen,87,1895,25
ML-DSA,keygen,87,1865,26
ML-DSA,keygen,87,1885,27
ML-DSA,keygen,87,1973,28
ML-DSA,keygen,87,1877,29
ML-DSA,keygen,87,1843,30
# SUMMARY ML-DSA keygen 87: mean=1910 min=1790 max=2879 stddev=222.2 cv=11.64% (n=30)
ML-DSA,sign,87,3547,1
ML-DSA,sign,87,6284,2
ML-DSA,sign,87,3126,3
ML-DSA,sign,87,4074,4
ML-DSA,sign,87,3684,5
ML-DSA,sign,87,2816,6
ML-DSA,sign,87,2259,7
ML-DSA,sign,87,2341,8
ML-DSA,sign,87,4046,9
ML-DSA,sign,87,2917,10
ML-DSA,sign,87,3632,11
ML-DSA,sign,87,3166,12
ML-DSA,sign,87,3259,13
ML-DSA,sign,87,12680,14
ML-DSA,sign,87,9384,15
ML-DSA,sign,87,5779,16
ML-DSA,sign,87,3254,17
ML-DSA,sign,87,2868,18
ML-DSA,sign,87,3496,19
ML-DSA,sign,87,2584,20
ML-DSA,sign,87,8039,21
ML-DSA,sign,87,2707,22
ML-DSA,sign,87,3356,23
ML-DSA,sign,87,2718,24
ML-DSA,sign,87,5591,25
ML-DSA,sign,87,2754,26
ML-DSA,sign,87,3723,27
ML-DSA,sign,87,2750,28
ML-DSA,sign,87,3553,29
ML-DSA,sign,87,4434,30
ML-DSA,sign,87,3016,31
ML-DSA,sign,87,4558,32
