# PQC Benchmark Suite (Local PC)
# Using PQClean reference C implementations
# Timer: QueryPerformanceCounter (10000000 ticks/sec)
#
algorithm,operation,security_level,time_us,run_number
ML-KEM,encaps,1024,844,19
ML-KEM,encaps,1024,832,20
ML-KEM,encaps,1024,902,21
ML-KEM,encaps,1024,985,22
ML-KEM,encaps,1024,894,23
ML-KEM,encaps,1024,926,24
ML-KEM,encaps,1024,1141,25
ML-KEM,encaps,1024,973,26
ML-KEM,encaps,1024,894,27
ML-KEM,encaps,1024,896,28
ML-KEM,encaps,1024,905,29
ML-KEM,encaps,1024,1276,30
# SUMMARY ML-KEM encaps 1024: mean=918 min=832 max=1276 stddev=92.3 cv=10.05% (n=30)
ML-KEM,decaps,1024,682,1
ML-KEM,decaps,1024,679,2
ML-KEM,decaps,1024,704,3
ML-KEM,decaps,1024,695,4
ML-KEM,decaps,1024,690,5
ML-KEM,decaps,1024,693,6
ML-KEM,decaps,1024,699,7
ML-KEM,decaps,1024,701,8
ML-KEM,decaps,1024,668,9
ML-KEM,decaps,1024,710,10
ML-KEM,decaps,1024,711,11
ML-KEM,decaps,1024,680,12
ML-KEM,decaps,1024,733,13
ML-KEM,decaps,1024,790,14
ML-KEM,decaps,1024,700,15
ML-KEM,decaps,1024,717,16
ML-KEM,decaps,1024,715,17
ML-KEM,decaps,1024,714,18
ML-KEM,decaps,1024,780,19
ML-KEM,decaps,1024,744,20
ML-KEM,decaps,1024,719,21
ML-KEM,decaps,1024,716,22
ML-KEM,decaps,1024,685,23
ML-KEM,decaps,1024,693,24
ML-KEM,decaps,1024,690,25
ML-KEM,decaps,1024,688,26
ML-KEM,decaps,1024,695,27
ML-KEM,decaps,1024,686,28
ML-KEM,decaps,1024,700,29
ML-KEM,decaps,1024,718,30
# SUMMARY ML-KEM decaps 1024: mean=707 min=668 max=790 stddev=26.6 cv=3.77% (n=30)
# CORRECTNESS: ML-KEM-1024 shared secrets MATCH
# === ML-KEM benchmarks complete ===
