algorithm,operation,security_level,time_us,run_number,energy_uj
ML-KEM,decaps,768,22033,18,1745.0
ML-KEM,decaps,768,22032,19,1744.9
ML-KEM,decaps,768,22032,20,1744.9
ML-KEM,decaps,768,22038,21,1745.4
ML-KEM,decaps,768,22035,22,1745.2
ML-KEM,decaps,768,22042,23,1745.7
ML-KEM,decaps,768,22030,24,1744.8
ML-KEM,decaps,768,22015,25,1743.6
ML-KEM,decaps,768,22016,26,1743.7
ML-KEM,decaps,768,22031,27,1744.9
ML-KEM,decaps,768,22054,28,1746.7
ML-KEM,decaps,768,22022,29,1744.1
ML-KEM,decaps,768,22008,30,1743.0
ML-KEM,keygen,1024,25496,1,2019.3
ML-KEM,keygen,1024,25156,2,1992.4
ML-KEM,keygen,1024,25132,3,1990.5
ML-KEM,keygen,1024,25142,4,1991.2
ML-KEM,keygen,1024,25125,5,1989.9
ML-KEM,keygen,1024,25135,6,1990.7
ML-KEM,keygen,1024,25125,7,1989.9
ML-KEM,keygen,1024,25133,8,1990.5
ML-KEM,keygen,1024,25126,9,1990.0
ML-KEM,keygen,1024,25130,10,1990.3
ML-KEM,keygen,1024,25125,11,1989.9
ML-KEM,keygen,1024,25139,12,1991.0
ML-KEM,keygen,1024,25118,13,1989.3
ML-KEM,keygen,1024,25115,14,1989.1
ML-KEM,keygen,1024,25120,15,1989.5
ML-KEM,keygen,1024,25133,16,1990.5
ML-KEM,keygen,1024,25124,17,1989.8
ML-KEM,keygen,1024,25124,18,1989.8
ML-KEM,keygen,1024,25139,19,1991.0
ML-KEM,keygen,1024,25133,20,1990.5
ML-KEM,keygen,1024,25137,21,1990.9
ML-KEM,keygen,1024,25125,22,1989.9
ML-KEM,keygen,1024,25102,23,1988.1
ML-KEM,keygen,1024,25121,24,1989.6
ML-KEM,keygen,1024,25150,25,1991.9
ML-KEM,keygen,1024,25138,26,1990.9
ML-KEM,keygen,1024,25616,27,2028.8
ML-KEM,keygen,1024,25133,28,1990.5
ML-KEM,keygen,1024,25118,29,1989.3
ML-KEM,keygen,1024,25138,30,1990.9
ML-KEM,encaps,1024,28084,1,2224.3
ML-KEM,encaps,1024,28133,2,2228.1
ML-KEM,encaps,1024,28086,3,2224.4
ML-KEM,encaps,1024,28082,4,2224.1
ML-KEM,encaps,1024,28074,5,2223.5
ML-KEM,encaps,1024,28081,6,2224.0
ML-KEM,encaps,1024,28079,7,2223.9
ML-KEM,encaps,1024,28068,8,2223.0
ML-KEM,encaps,1024,28066,9,2222.8
ML-KEM,encaps,1024,28089,10,2224.6
ML-KEM,encaps,1024,28073,11,2223.4
ML-KEM,encaps,1024,28076,12,2223.6
ML-KEM,encaps,1024,28069,13,2223.1
ML-KEM,encaps,1024,28081,14,2224.0
ML-KEM,encaps,1024,28076,15,2223.6
ML-KEM,encaps,1024,28062,16,2222.5
ML-KEM,encaps,1024,28062,17,2222.5
ML-KEM,encaps,1024,28065,18,2222.7
ML-KEM,encaps,1024,28074,19,2223.5
ML-KEM,encaps,1024,28059,20,2222.3
ML-KEM,encaps,1024,28075,21,2223.5
ML-KEM,encaps,1024,28066,22,2222.8
ML-KEM,encaps,1024,28068,23,2223.0
ML-KEM,encaps,1024,28086,24,2224.4
ML-KEM,encaps,1024,28075,25,2223.5
ML-KEM,encaps,1024,28067,26,2222.9
ML-KEM,encaps,1024,28081,27,2224.0
ML-KEM,encaps,1024,28071,28,2223.2
ML-KEM,encaps,1024,28065,29,2222.7
ML-KEM,encaps,1024,28072,30,2223.3
ML-KEM,decaps,1024,32407,1,2566.6
ML-KEM,decaps,1024,32486,2,2572.9
ML-KEM,decaps,1024,32443,3,2569.5
ML-KEM,decaps,1024,32449,4,2570.0
ML-KEM,decaps,1024,32442,5,2569.4
ML-KEM,decaps,1024,32434,6,2568.8
ML-KEM,decaps,1024,32432,7,2568.6
ML-KEM,decaps,1024,32437,8,2569.0
ML-KEM,decaps,1024,32435,9,2568.9
ML-KEM,decaps,1024,32436,10,2568.9
ML-KEM,decaps,1024,32427,11,2568.2
ML-KEM,decaps,1024,32430,12,2568.5
ML-KEM,decaps,1024,32441,13,2569.3
ML-KEM,decaps,1024,32436,14,2568.9
ML-KEM,decaps,1024,32455,15,2570.4
ML-KEM,decaps,1024,32428,16,2568.3
ML-KEM,decaps,1024,32429,17,2568.4
ML-KEM,decaps,1024,32447,18,2569.8
ML-KEM,decaps,1024,32426,19,2568.1
ML-KEM,decaps,1024,32442,20,2569.4
ML-KEM,decaps,1024,32423,21,2567.9
ML-KEM,decaps,1024,32438,22,2569.1
ML-KEM,decaps,1024,32444,23,2569.6
ML-KEM,decaps,1024,32424,24,2568.0
ML-KEM,decaps,1024,32429,25,2568.4
ML-KEM,decaps,1024,32435,26,2568.9
ML-KEM,decaps,1024,32425,27,2568.1
ML-KEM,decaps,1024,32430,28,2568.5
ML-KEM,decaps,1024,32447,29,2569.8
ML-KEM,decaps,1024,32447,30,2569.8
